product_name,product_price,original_price,discount_percentage,product_rating,reviews_count,estimated_amount_bought
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 650,700","₦ 870,900",25%,3.9,16,160.0
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 8GB RAM/512GB SSD Win 11 Pro,"₦ 605,000",N/A,N/A,3.6,17,170.0
"Hp PROBOOK 450G6 8TH GEN INTEL CORE I5 8GB RAM 256GB SSD,KEYBOARD LITE, WINDOWS 11PRO","₦ 760,000",N/A,N/A,N/A,1,10.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-512GB SSD-Win 10 Pro","₦ 1,148,000","₦ 1,198,000",4%,N/A,1,10.0
"Apple MacBook Pro 14.2"" 8‑core CPU/10‑core 8GB/1TB M3 Chip  - Silver 2023","₦ 2,999,999","₦ 9,999,999",70%,N/A,0,0.0
"Apple MacBook Air 13.3"" 8GB/256GB M1 - Space Grey","₦ 1,300,999","₦ 2,999,999",57%,4.8,36,360.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I7-1165G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 1,185,000","₦ 1,238,000",4%,N/A,0,0.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-256GB SSD-Black","₦ 958,000","₦ 1,068,000",10%,N/A,0,0.0
Hp  Stream 11 Pro Intel Celeron 4GB RAM- 64GB HDD WIN 10+ Usb Light,"₦ 145,000","₦ 235,000",38%,2.5,2,20.0
Hp PRO ONE 400 G4 COREI5 8GB RAM,"₦ 720,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 650,000","₦ 770,900",16%,4.3,155,1550.0
"DELL Latitude 3310 Intel®️ Core™️ I5-Quad Core 256GB SSD 16GB RAM 13.3""WIN10 Pro","₦ 880,000","₦ 898,000",2%,N/A,1,10.0
Apple MacBook Pro 14″ 18GB/1TB 18 Core M3 Pro Chip - Silver,"₦ 3,800,999","₦ 6,999,999",46%,N/A,0,0.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 520,000","₦ 990,000",47%,4.6,7,70.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 755,000","₦ 990,000",24%,4.3,4,40.0
"15.6"" Laptop J4125 8GB+256GB SSD Student Portable Computer","₦ 215,563","₦ 386,400",44%,N/A,0,0.0
Lenovo Ideapad 15 Inch Intel® Celeron® 8GB RAM DDR4 -256SSD,"₦ 384,999","₦ 950,000",59%,4.8,8,80.0
"DELL Latitude 3310 11Th Gen Intel®️ Core™️ I5-Quad Core 256GB SSD 8GB RAM 13.3""WIN10 Pro","₦ 850,000","₦ 890,000",4%,N/A,0,0.0
"Power Plus 1,300,000,000mw Ultra Massive Laptop Power Bank","₦ 350,550 - ₦ 578,000","₦ 578,000",39%,3.5,2,20.0
"Hp EliteBook 840 G8  - Core I5-1135G7- 14"" - 512GB SSD-16B RAM","₦ 900,000","₦ 1,500,000",40%,N/A,0,0.0
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-8GB RAM-256GB SSD-Black","₦ 925,000","₦ 978,000",5%,N/A,0,0.0
"14"" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc","₦ 194,340","₦ 289,800",33%,N/A,0,0.0
